Date,Price,Open,High,Low,Vol.,Change %
25-May-19,8027.40,7971.40,8090.10,7919.10,691.27K,0.72%
24-May-19,7970.10,7852.80,8124.10,7775.40,868.47K,1.50%
23-May-19,7852.10,7637.20,7939.10,7486.80,815.14K,2.83%
22-May-19,7635.70,7928.70,7999.00,7545.90,821.40K,-3.72%
21-May-19,7930.30,7965.00,8056.80,7813.20,804.88K,-0.44%
20-May-19,7965.30,8156.40,8156.40,7604.00,958.81K,-2.35%
19-May-19,8157.20,7261.90,8253.40,7252.30,1.08M,12.32%
18-May-19,7262.60,7359.90,7458.50,7189.40,865.53K,-1.32%
17-May-19,7359.50,7871.90,7924.00,6998.60,1.43M,-6.51%
16-May-19,7871.80,8164.80,8293.30,7720.40,1.18M,-3.59%
15-May-19,8164.60,7994.80,8225.30,7856.50,1.13M,2.13%
14-May-19,7994.60,7806.40,8323.90,7674.00,1.33M,2.42%
13-May-19,7806.00,6984.70,8058.30,6893.10,1.20M,11.76%
12-May-19,6984.80,7190.00,7518.90,6802.60,1.35M,-2.86%
11-May-19,7190.30,6386.60,7373.80,6386.50,1.31M,12.59%
10-May-19,6386.00,6194.30,6466.60,6157.80,907.94K,3.14%
9-May-19,6191.50,5990.50,6206.00,5990.00,799.96K,3.36%
8-May-19,5990.30,5849.40,6011.30,5799.10,757.13K,2.41%
7-May-19,5849.50,5745.50,6019.80,5745.50,955.88K,1.82%
6-May-19,5745.10,5775.10,5801.40,5630.50,755.39K,-0.52%
5-May-19,5774.90,5830.80,5838.20,5708.20,709.02K,-0.96%
4-May-19,5830.90,5768.00,5899.20,5605.00,920.61K,1.11%
3-May-19,5766.80,5493.60,5844.20,5478.70,1.04M,4.97%
2-May-19,5493.80,5384.60,5530.80,5370.00,722.23K,2.04%
1-May-19,5384.20,5321.10,5396.30,5319.50,623.64K,1.19%
30-Apr-19,5320.80,5235.40,5336.60,5195.90,697.42K,1.64%
29-Apr-19,5235.00,5302.40,5322.90,5188.90,775.82K,-1.27%
28-Apr-19,5302.30,5265.70,5332.50,5234.40,681.41K,0.69%
27-Apr-19,5265.90,5298.20,5318.10,5225.40,833.13K,-0.61%
26-Apr-19,5298.30,5209.20,5469.30,5159.30,1.03M,1.71%
25-Apr-19,5209.10,5415.60,5528.20,5137.40,955.36K,-3.81%
24-Apr-19,5415.60,5511.20,5589.60,5346.80,994.04K,-1.74%
23-Apr-19,5511.60,5346.50,5594.40,5291.40,900.00K,3.08%
22-Apr-19,5346.70,5248.20,5370.20,5170.20,920.77K,1.97%
21-Apr-19,5243.50,5290.20,5308.20,5189.80,811.41K,-0.88%
20-Apr-19,5290.20,5241.00,5327.00,5240.20,782.32K,0.94%
19-Apr-19,5241.00,5264.80,5282.40,5192.10,787.09K,-0.45%
18-Apr-19,5264.70,5208.30,5293.10,5205.00,727.97K,1.08%
17-Apr-19,5208.30,5182.10,5230.90,5165.50,806.52K,0.53%
16-Apr-19,5180.90,5031.40,5198.40,5014.40,631.05K,2.95%
15-Apr-19,5032.30,5135.10,5168.00,4964.20,688.20K,-2.00%
14-Apr-19,5134.80,5052.00,5153.50,5010.70,566.38K,1.64%
13-Apr-19,5051.80,5054.20,5093.40,5011.60,577.16K,-0.05%
12-Apr-19,5054.20,5022.70,5080.50,4889.20,779.14K,0.63%
11-Apr-19,5022.60,5307.70,5337.00,4948.00,943.49K,-5.37%
10-Apr-19,5307.80,5158.40,5404.10,5142.90,837.51K,2.89%
9-Apr-19,5158.40,5245.00,5245.90,5095.20,784.62K,-1.65%
8-Apr-19,5245.20,5173.50,5300.60,5060.50,928.23K,1.38%
7-Apr-19,5173.60,5046.10,5219.50,5033.70,841.27K,2.53%
6-Apr-19,5046.20,5010.00,5198.40,4947.90,952.18K,0.72%
5-Apr-19,5010.20,4902.50,5029.40,4888.30,851.72K,2.20%
4-Apr-19,4902.40,4968.70,5042.50,4789.20,1.05M,-1.33%
3-Apr-19,4968.70,4859.30,5278.40,4814.00,13.83M,2.25%
2-Apr-19,4859.30,4145.10,4899.60,4143.50,14.77M,17.23%
1-Apr-19,4145.10,4102.30,4159.10,4076.80,3.22M,1.04%
31-Mar-19,4102.30,4111.80,4121.90,4082.20,2.43M,-0.23%
30-Mar-19,4111.80,4103.70,4138.10,4057.10,2.55M,0.23%
29-Mar-19,4102.20,4025.70,4123.10,4022.60,3.30M,1.90%
28-Mar-19,4025.60,4041.70,4041.70,4008.40,2.11M,-0.40%
27-Mar-19,4041.70,3942.80,4043.30,3936.20,2.78M,2.51%
26-Mar-19,3942.80,3937.10,3950.70,3899.90,2.53M,0.15%
25-Mar-19,3937.00,3994.80,4000.50,3897.90,2.86M,-1.44%
24-Mar-19,3994.70,4002.60,4005.70,3967.00,2.04M,-0.20%
23-Mar-19,4002.50,3990.40,4018.20,3980.80,2.00M,0.30%
22-Mar-19,3990.40,3982.20,4005.70,3971.80,2.83M,0.21%
21-Mar-19,3982.20,4041.20,4064.00,3923.80,3.88M,-1.46%
20-Mar-19,4041.20,4017.00,4050.00,3985.30,3.18M,0.60%
19-Mar-19,4017.00,3990.20,4029.90,3972.40,2.99M,0.67%
18-Mar-19,3990.20,3981.50,4032.30,3958.50,2.62M,0.22%
17-Mar-19,3981.50,4006.40,4009.80,3956.30,1.87M,-0.62%
16-Mar-19,4006.40,3924.40,4050.60,3923.70,3.46M,2.09%
15-Mar-19,3924.30,3879.00,3935.70,3874.80,3.11M,1.17%
14-Mar-19,3879.00,3865.10,3914.70,3828.40,2.86M,0.36%
13-Mar-19,3865.10,3885.90,3894.70,3847.40,2.28M,-0.54%
12-Mar-19,3886.00,3870.30,3900.10,3817.10,2.90M,0.41%
11-Mar-19,3870.30,3915.20,3935.50,3842.40,3.19M,-1.15%
10-Mar-19,3915.20,3944.40,3944.50,3889.20,1.89M,-0.74%
9-Mar-19,3944.30,3865.60,3964.00,3859.70,2.48M,2.03%
8-Mar-19,3865.90,3875.10,3929.00,3810.70,2.96M,-0.24%
7-Mar-19,3875.10,3863.10,3907.40,3847.90,2.60M,0.32%
6-Mar-19,3863.00,3857.20,3887.30,3816.70,2.52M,0.15%
5-Mar-19,3857.20,3715.90,3873.20,3705.70,3.82M,3.80%
4-Mar-19,3715.90,3809.70,3828.40,3681.80,2.85M,-2.45%
3-Mar-19,3809.50,3823.20,3836.60,3789.70,1.51M,-0.36%
2-Mar-19,3823.10,3821.90,3843.20,3783.60,1.61M,0.03%
1-Mar-19,3821.90,3816.70,3855.80,3816.40,1.74M,0.14%
28-Feb-19,3816.60,3814.60,3883.70,3783.30,2.31M,0.05%
27-Feb-19,3814.60,3810.30,3836.40,3701.90,2.82M,0.11%
26-Feb-19,3810.30,3833.50,3845.50,3775.00,2.09M,-0.61%
25-Feb-19,3833.70,3755.70,3870.70,3753.80,765.87K,2.09%
24-Feb-19,3755.20,4120.50,4194.20,3738.70,977.78K,-8.86%
23-Feb-19,4120.40,3965.20,4152.60,3939.40,727.85K,3.91%
22-Feb-19,3965.20,3937.40,3983.10,3931.70,649.55K,0.73%
21-Feb-19,3936.60,3972.00,4011.50,3909.20,668.16K,-0.90%
20-Feb-19,3972.40,3914.30,3983.60,3881.20,698.01K,1.48%
19-Feb-19,3914.30,3896.40,3993.80,3863.70,1.44M,0.47%
18-Feb-19,3896.00,3664.20,3903.70,3655.10,933.15K,6.33%
17-Feb-19,3664.20,3616.80,3689.90,3607.90,580.51K,1.31%
16-Feb-19,3616.80,3604.70,3641.90,3599.70,485.63K,0.34%
15-Feb-19,3604.70,3592.60,3648.30,3581.40,516.21K,0.34%
14-Feb-19,3592.60,3611.50,3624.50,3580.20,498.14K,-0.52%
13-Feb-19,3611.50,3632.00,3663.50,3599.20,558.02K,-0.56%
12-Feb-19,3632.00,3631.80,3656.40,3594.40,545.82K,0.01%
11-Feb-19,3631.80,3678.80,3681.10,3623.80,517.28K,-1.28%
10-Feb-19,3679.00,3661.00,3680.60,3617.10,501.90K,0.48%
9-Feb-19,3661.40,3661.60,3675.30,3633.20,454.80K,-0.01%
8-Feb-19,3661.70,3397.30,3721.10,3382.50,699.23K,7.77%
7-Feb-19,3397.70,3404.90,3421.80,3390.30,471.36K,-0.20%
6-Feb-19,3404.30,3468.50,3478.00,3383.90,514.21K,-1.85%
5-Feb-19,3468.40,3463.00,3485.90,3450.30,460.95K,0.16%
4-Feb-19,3462.80,3459.00,3479.70,3437.10,503.92K,0.11%
3-Feb-19,3459.10,3502.30,3507.80,3431.30,451.66K,-1.24%
2-Feb-19,3502.50,3467.90,3514.50,3447.80,443.60K,1.00%
1-Feb-19,3467.90,3437.70,3485.70,3415.30,481.58K,0.90%
31-Jan-19,3437.20,3460.00,3484.70,3427.00,477.07K,-0.66%
30-Jan-19,3460.00,3414.60,3479.00,3394.20,600.25K,1.32%
29-Jan-19,3414.80,3442.80,3450.10,3368.20,585.46K,-0.81%
28-Jan-19,3442.80,3555.80,3561.20,3395.70,620.85K,-3.17%
27-Jan-19,3555.60,3570.90,3583.20,3509.20,464.02K,-0.43%
26-Jan-19,3570.90,3572.00,3652.50,3556.10,432.55K,-0.03%
25-Jan-19,3572.00,3574.30,3582.60,3542.20,448.89K,-0.06%
24-Jan-19,3574.30,3561.40,3587.00,3539.70,428.60K,0.36%
23-Jan-19,3561.50,3580.10,3608.30,3532.80,445.87K,-0.52%
22-Jan-19,3580.10,3536.90,3607.90,3465.20,447.70K,1.23%
21-Jan-19,3536.70,3542.70,3561.40,3505.40,394.17K,-0.16%
20-Jan-19,3542.30,3676.20,3699.10,3503.90,563.31K,-3.68%
19-Jan-19,3677.80,3605.80,3715.20,3604.10,537.06K,2.00%
18-Jan-19,3605.60,3626.30,3627.90,3575.70,488.16K,-0.57%
17-Jan-19,3626.40,3588.10,3636.70,3554.80,525.10K,1.07%
16-Jan-19,3588.00,3570.60,3644.10,3561.40,487.34K,0.47%
15-Jan-19,3571.30,3637.50,3660.80,3545.70,544.85K,-1.84%
14-Jan-19,3638.10,3490.40,3672.00,3490.40,539.93K,4.24%
13-Jan-19,3490.20,3597.30,3617.60,3473.20,452.79K,-2.98%
12-Jan-19,3597.20,3616.60,3633.90,3561.30,435.06K,-0.53%
11-Jan-19,3616.50,3603.30,3655.70,3563.10,551.64K,0.35%
10-Jan-19,3603.70,3978.90,4007.70,3562.10,697.31K,-9.41%
9-Jan-19,3978.00,3971.00,4014.20,3957.50,473.42K,0.17%
8-Jan-19,3971.00,3985.80,4070.50,3943.10,514.08K,-0.37%
7-Jan-19,3985.90,4004.30,4028.00,3945.50,500.88K,-0.45%
6-Jan-19,4004.10,3785.70,4034.10,3758.50,529.89K,5.78%
5-Jan-19,3785.40,3802.80,3846.70,3769.00,468.45K,-0.46%
4-Jan-19,3802.70,3780.50,3823.90,3720.00,488.70K,0.60%
3-Jan-19,3780.10,3874.10,3875.80,3753.00,450.32K,-2.42%
2-Jan-19,3873.80,3809.70,3894.80,3768.10,554.47K,1.69%
1-Jan-19,3809.40,3709.50,3814.30,3664.40,469.11K,2.69%
31-Dec-18,3709.40,3815.10,3819.60,3658.80,545.83K,-2.77%
30-Dec-18,3815.00,3708.20,3837.70,3682.50,519.17K,2.92%
29-Dec-18,3706.80,3861.60,3899.60,3696.00,505.41K,-4.01%
28-Dec-18,3861.60,3587.10,3900.30,3565.50,565.24K,7.66%
27-Dec-18,3586.90,3793.40,3822.60,3560.80,543.44K,-5.45%
26-Dec-18,3793.70,3762.80,3841.90,3680.30,567.11K,0.83%
25-Dec-18,3762.50,4025.60,4030.70,3676.50,670.94K,-6.55%
24-Dec-18,4026.10,3944.50,4208.20,3941.90,716.29K,2.07%
23-Dec-18,3944.40,3964.30,4037.10,3904.60,572.21K,-0.50%
22-Dec-18,3964.40,3850.90,3977.20,3803.70,554.59K,2.95%
21-Dec-18,3850.90,4075.20,4153.10,3786.90,748.76K,-5.52%
20-Dec-18,4076.00,3687.20,4140.30,3665.80,958.58K,10.55%
19-Dec-18,3687.10,3668.10,3924.70,3647.50,792.40K,0.52%
18-Dec-18,3668.00,3526.00,3683.10,3456.90,698.53K,4.02%
17-Dec-18,3526.10,3248.30,3597.40,3243.10,534.78K,8.57%
16-Dec-18,3247.90,3228.60,3305.00,3225.90,335.69K,0.60%
15-Dec-18,3228.70,3247.80,3282.30,3177.00,332.95K,-0.59%
14-Dec-18,3247.80,3315.40,3336.60,3199.10,445.56K,-2.04%
13-Dec-18,3315.30,3466.20,3474.40,3284.80,435.89K,-4.35%
12-Dec-18,3466.10,3390.20,3510.20,3379.40,391.17K,1.72%
11-Dec-18,3407.70,3460.40,3485.90,3349.90,418.53K,-1.53%
10-Dec-18,3460.50,3566.90,3622.40,3412.70,394.49K,-3.00%
9-Dec-18,3567.50,3430.30,3677.60,3424.20,327.93K,4.00%
8-Dec-18,3430.40,3422.30,3507.70,3302.90,424.40K,0.24%
7-Dec-18,3422.20,3508.90,3626.60,3251.80,639.33K,-2.46%
6-Dec-18,3508.60,3771.40,3887.20,3505.70,467.54K,-6.97%
5-Dec-18,3771.60,3958.10,3974.10,3765.20,341.60K,-4.72%
4-Dec-18,3958.50,3899.90,4082.90,3809.30,326.71K,1.56%
3-Dec-18,3897.80,4160.30,4177.00,3839.90,355.10K,-6.31%
2-Dec-18,4160.40,4196.20,4316.10,4105.30,298.63K,-0.85%
1-Dec-18,4196.20,4038.70,4299.10,3967.10,316.30K,3.87%
30-Nov-18,4039.70,4296.80,4340.60,3954.50,444.52K,-5.98%
29-Nov-18,4296.50,4265.50,4440.10,4140.60,414.46K,0.73%
28-Nov-18,4265.40,3866.40,4391.80,3866.40,533.04K,10.32%
27-Nov-18,3866.50,3840.30,3920.60,3687.80,457.27K,0.77%
26-Nov-18,3837.00,4061.00,4179.00,3679.80,571.04K,-5.54%
25-Nov-18,4062.20,3920.30,4198.40,3634.20,619.95K,3.62%
24-Nov-18,3920.40,4397.30,4494.60,3821.50,382.72K,-10.86%
23-Nov-18,4398.00,4360.90,4455.60,4223.70,348.99K,0.96%
22-Nov-18,4356.00,4646.40,4695.70,4346.70,261.85K,-6.09%
21-Nov-18,4638.70,4523.00,4743.70,4393.00,412.74K,2.52%
20-Nov-18,4524.60,4883.60,5013.40,4272.30,714.08K,-7.36%
19-Nov-18,4883.80,5660.40,5662.50,4831.10,478.26K,-13.69%
18-Nov-18,5658.30,5621.00,5727.90,5615.50,158.68K,0.65%
17-Nov-18,5621.80,5636.20,5645.50,5561.40,156.51K,-0.26%
16-Nov-18,5636.20,5723.50,5747.70,5539.70,224.12K,-1.45%
15-Nov-18,5718.90,5854.00,5878.50,5384.10,375.86K,-2.11%
14-Nov-18,5842.40,6428.90,6453.30,5619.20,438.21K,-9.13%
13-Nov-18,6429.20,6435.00,6466.80,6386.70,137.60K,-0.09%
12-Nov-18,6435.00,6445.00,6475.90,6409.40,130.16K,-0.17%
11-Nov-18,6446.10,6427.10,6451.70,6359.00,127.40K,0.30%
10-Nov-18,6427.10,6411.90,6461.70,6411.70,115.87K,0.24%
9-Nov-18,6412.00,6473.80,6496.10,6390.00,151.60K,-0.96%
8-Nov-18,6474.00,6565.30,6577.30,6466.30,159.30K,-1.39%
7-Nov-18,6565.30,6503.10,6594.30,6502.00,170.76K,0.96%
6-Nov-18,6502.80,6460.40,6509.60,6441.60,154.87K,0.67%
5-Nov-18,6459.70,6478.20,6489.20,6431.70,128.51K,-0.29%
4-Nov-18,6478.20,6386.20,6508.90,6359.70,128.76K,1.44%
3-Nov-18,6386.20,6424.50,6429.50,6346.20,112.84K,-0.60%
2-Nov-18,6424.70,6400.50,6444.30,6390.90,135.87K,0.38%
1-Nov-18,6400.50,6365.90,6421.80,6354.20,124.16K,0.54%
31-Oct-18,6365.90,6327.90,6405.70,6257.80,129.06K,0.64%
30-Oct-18,6325.70,6336.70,6469.90,6316.50,128.21K,-0.15%
29-Oct-18,6335.00,6486.10,6498.40,6310.50,160.52K,-2.33%
28-Oct-18,6486.10,6494.60,6502.20,6461.20,93.97K,-0.12%
27-Oct-18,6494.20,6510.00,6534.00,6473.70,76.72K,-0.24%
26-Oct-18,6510.00,6507.00,6570.50,6498.50,97.17K,0.05%
25-Oct-18,6507.00,6532.50,6544.80,6491.50,97.43K,-0.36%
24-Oct-18,6530.70,6531.20,6593.80,6522.60,98.74K,0.03%
23-Oct-18,6528.70,6558.60,6573.60,6500.50,108.86K,-0.41%
22-Oct-18,6555.80,6583.00,6612.70,6529.50,101.57K,-0.41%
21-Oct-18,6583.00,6575.90,6643.10,6568.00,92.94K,0.16%
20-Oct-18,6572.20,6511.70,6593.70,6495.90,97.77K,0.92%
19-Oct-18,6512.00,6576.40,6603.20,6506.90,121.44K,-0.94%
18-Oct-18,6574.10,6690.10,6736.30,6530.60,134.15K,-1.68%
17-Oct-18,6686.60,6718.90,6745.90,6637.80,136.71K,-0.28%
16-Oct-18,6705.30,6712.40,6836.70,6645.40,155.85K,0.08%
15-Oct-18,6699.80,6326.80,7358.40,6300.20,443.33K,5.90%
14-Oct-18,6326.80,6321.60,6390.90,6300.00,99.38K,0.08%
13-Oct-18,6321.70,6291.30,6329.30,6282.80,94.45K,0.48%
12-Oct-18,6291.30,6239.20,6344.80,6206.80,147.40K,0.84%
11-Oct-18,6239.10,6618.00,6622.50,6206.20,245.28K,-5.72%
10-Oct-18,6618.00,6650.60,6653.50,6526.00,101.93K,-0.49%
9-Oct-18,6650.80,6669.60,6678.90,6613.30,80.79K,-0.28%
8-Oct-18,6669.60,6611.00,6699.50,6589.90,119.68K,0.89%
7-Oct-18,6611.00,6596.30,6633.90,6523.80,77.06K,0.22%
6-Oct-18,6596.30,6639.10,6661.50,6550.40,9.18M,-0.65%
5-Oct-18,6639.10,6584.20,6682.30,6537.60,9.34M,0.83%
4-Oct-18,6584.20,6509.20,6653.00,6487.80,9.31M,1.17%
3-Oct-18,6507.80,6549.90,6563.50,6429.60,9.21M,-0.64%
2-Oct-18,6549.90,6608.20,6645.70,6034.90,9.34M,-0.88%
1-Oct-18,6608.20,6635.20,6674.70,6072.70,9.19M,-0.41%
